ID,Título,Ano,Contexto - Domínio,Domínio,Pergunta,Resposta,Justificativa,Study,,Classification,,Nome,Ano,Key,,FEITO,A FAZER
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,Os dados usados no estudo foram gerados a partir de conjuntos de dados retrospectivos e simulados.,,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados simulados a partir de dados reais e o contexto de identificar EVs são aplicáveis ao problema de NILM em sistemas reais.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o algoritmo de aprendizado de máquina (Random Forest) foi claramente descrito. ",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram reportados.",,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o treinamento e a validação foram realizados em conjuntos de dados separados usando cross-validation.",,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de ML utilizada está alinhada com o problema de NILM, especialmente no contexto de identificação de aparelhos específicos.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o estudo descreve de forma adequada o ground truth utilizado.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (o status real do EV dentro do perfil de carga agregado simulado) é independente do modelo treinado.",,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o padrão de referência é adequado para avaliar o desempenho em NILM, especificamente para a tarefa de identificação de Veículos Elétricos.",Low,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,High,"Não, apenas 12% dos dados disponíveis foram incluídos na análise final.",High,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,High,"Sim, o estudo explica que 88% dos dados que representavam apenas cargas convencionais foram excluídos para manter o equilíbrio entre as classes de carregamento de EV e as cargas convencionais.",,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho são reportadas de forma clara e são apropriadas para a tarefa de classificação.",,,,,,,,,,
[12],Supervised Non-Intrusive Load Monitoring Algorithm for Electric Vehicle Identification,2020,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está bem alinhada com os objetivos do estudo, que é propor e avaliar um algoritmo NILM para a identificação de Veículos Elétricos.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, a população utilizada é representativa do contexto real de aplicação residencial.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"Não, os critérios de inclusão e exclusão dos dados não foram claramente descritos.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza o conjunto de dados REDD, que é um dataset pré-existente e público.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o algoritmo K-Nearest Neighbors (KNN) foi claramente descrito.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Some concerns,O hiperparâmetro principal (valor de K) foi especificado como K=5.,,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o estudo usou uma divisão de 90% dos dados para treinamento e 10% para testes, o que é um método típico de holdout para validação do modelo.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem KNN é bem alinhada com o problema de NILM descrito, já que o estudo se concentra em classificar dispositivos com base em seus sinais de consumo de energia, uma tarefa central para a desagregação de energia.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o ground truth foi baseado nos dados de sub-medidores da REDD, onde os dispositivos e suas cargas de energia são claramente rotulados.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (os dados reais dos dispositivos) é independente do modelo treinado, já que são dados coletados diretamente e usados como base para avaliação do modelo KNN.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o conjunto de dados REDD é amplamente utilizado para avaliar algoritmos de NILM, tornando-o um padrão adequado para esse tipo de avaliação.",Low,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, o estudo selecionou um subconjunto específico dos dados da REDD, que inclui sinais de consumo de energia de sete dispositivos.",Some concerns,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,"Não há uma explicação detalhada sobre exclusão de amostras ou classes, mas a escolha dos dispositivos foi feita com base nas necessidades do estudo, que se concentrou em sete dispositivos específicos.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, o estudo reportou métricas como F-measure e G-mean, além de apresentar uma análise detalhada das classificações para cada dispositivo.",,,,,,,,,,
[13],Non-Intrusive Electrical Appliances Monitoring and Classification using K-Nearest Neighbors,2019,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está totalmente alinhada com os objetivos do estudo, que são avaliar a eficácia do KNN para classificar dispositivos em um sistema de monitoramento de energia residencial.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, a população utilizada é representativa do contexto real de aplicação residencial.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"Não, os critérios de inclusão e exclusão dos dados específicos utilizados neste estudo não são claramente descritos além da menção de uso do dataset REDD.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza o conjunto de dados REDD, que é um dataset pré-existente e público.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados usados no estudo são altamente aplicáveis ao problema de NILM em sistemas reais.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, os algoritmos de ML comparados (Random Forest Classifier - RFC, K-Nearest Neighbors - KNN, Gradient Boosting - GB e Support Vector Machines - SVM) são bem conhecidos e, com as informações fornecidas, a abordagem geral é implementável.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,No information,"Não, os hiperparâmetros e configurações detalhadas de todos os modelos de ML testados não foram reportados de forma exaustiva.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o estudo utilizou validação cruzada e estratificada (Stratified K-Fold) para lidar com dados desequilibrados, garantindo que os conjuntos de treinamento e validação fossem separados de forma adequada.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, os algoritmos de ML, como KNN, RFC e SVC, são bem alinhados com o problema de NILM descrito.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o estudo utilizou o conjunto REDD, que possui dados rotulados dos dispositivos, como o ground truth para avaliação do desempenho dos modelos.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (os dados do conjunto REDD) é independente do modelo treinado, já que os dispositivos e suas características de consumo são rotulados no conjunto de dados.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o conjunto REDD é adequado para avaliar o desempenho de modelos de NILM.",Low,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, o estudo fez uma filtragem dos dados, removendo instâncias com menos de 10 repetições, o que resultou em um conjunto final de 3.790 instâncias.",Some concerns,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,Some concerns,"Sim, o estudo explica a exclusão de instâncias com menos de 10 repetições, o que foi feito para reduzir a complexidade do modelo e melhorar o desempenho com um conjunto de dados mais balanceado.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho, como F1-score, precisão e recall, foram reportadas de forma clara e com análise detalhada, incluindo a variabilidade dos resultados para cada classe e modelo, mas não reporta a variância.",,,,,,,,,,
[14],Comparative Evaluation of Machine Learning Classifier Algorithms for Electric Load Disaggregation Based on Average Power Signatures,2024,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está alinhada com os objetivos de avaliar a eficácia de vários algoritmos de machine learning para a desagregação de carga elétrica, com foco na aplicação prática de NILM em ambientes residenciais.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, o estudo utiliza um conjunto de dados misto, que combina três conjuntos de dados públicos: PLAID, COOLL e WHITED, focando principalmente em eletrodomésticos residenciais.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,O artigo não descreve explicitamente os critérios de inclusão e exclusão dos dados.,,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente. O estudo utiliza dados de conjuntos públicos já existentes, como o PLAID, COOLL e WHITED, que contêm informações sobre o consumo de energia de dispositivos em residências.",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados são altamente aplicáveis ao problema de NILM, uma vez que são provenientes de fontes reais de consumo de energia e são usados para identificar o consumo de energia de aparelhos individuais em ambientes residenciais.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o artigo descreve claramente o uso de uma rede neural convolucional (CNN) para classificação dentro de um modelo de aprendizado profundo ativo.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram descritos, incluindo o uso de funções de ativação, a função de perda (Cross-Entropy Loss), o otimizador (Adam) e a arquitetura da CNN. ",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, o treinamento e a validação foram realizados em conjuntos de dados separados usando uma abordagem de holdout.",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado profundo ativo e a extração de características usando a Transformada Wavelet Discreta (DWT) são bem alinhadas com o problema de NILM.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o estudo utiliza dados rotulados provenientes de três conjuntos de dados públicos (PLAID, COOLL, WHITED), o que fornece o ground truth necessário para avaliar o desempenho do modelo. ",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (os dados rotulados) é independente do modelo treinado.",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, os dados dos conjuntos públicos são adequados para avaliar o desempenho em NILM, pois incluem sinais de corrente e tensão de dispositivos em diferentes condições operacionais.",Low,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, o estudo filtrou os dados e usou um conjunto específico de 200 amostras inicialmente rotuladas para treinamento.",Some concerns,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,Some concerns,"Sim, o estudo menciona a exclusão de amostras com baixa relevância, especialmente em relação ao desequilíbrio de classes.",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho como o F1-score, precisão e recall foram reportadas de forma clara, com uma análise detalhada do desempenho entre as diferentes abordagens de aprendizado ativo.",,,,,,,,,,
[15],A Load Identification Method Based on Active Deep Learning and Discrete Wavelet Transform,2020,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está bem alinhada com os objetivos do estudo.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"Sim, o estudo utiliza o banco de dados BLUED, que contém dados de consumo de energia em um contexto residencial.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,O estudo não descreve de forma explícita critérios de inclusão e exclusão dos dados.,,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza o banco de dados BLUED, que contém dados históricos de consumo de energia.",,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados do banco de dados BLUED são altamente aplicáveis ao problema de NILM, pois incluem registros de consumo de energia de dispositivos reais em um ambiente residencial.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"Sim, o artigo descreve claramente a arquitetura do modelo de aprendizado, que utiliza um Autoencoder Convolucional (CAE) para redução de dimensionalidade seguido de um classificador neural.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, os hiperparâmetros e configurações do modelo foram reportados.",,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,"Sim, os dados foram divididos em três conjuntos: treinamento (50%), validação e teste, com amostras separadas para cada fase do experimento.",,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado profundo, especificamente o uso de um Autoencoder Convolucional (CAE), está bem alinhada com o problema de NILM.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"Sim, o artigo descreve que o ""ground truth"" foi extraído do banco de dados BLUED, que é um conjunto de dados rotulados de consumo de energia de diferentes dispositivos.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência (os dados rotulados do BLUED) é independente do modelo treinado. ",,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, o banco de dados BLUED é adequado para avaliar o desempenho de modelos de NILM.",Low,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, o estudo utilizou uma amostra dos dados do BLUED, dividida em imagens de 64x64 para treinamento e teste.",Some concerns,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,No information,O estudo menciona que amostras foram artificialmente geradas para balancear as classes. ,,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"Sim, as métricas de desempenho, incluindo o F1-score, precisão e recall, foram reportadas de forma clara. A variância não foi explicitamente fornecida.",,,,,,,,,,
[16],Appliance Identification in NILM Applications by means of a Convolutional Auto-Encoder,2023,Aplicabilidade,D4,A análise de desempenho está alinhada com os objetivos da revisão?,Low,"Sim, a análise de desempenho está alinhada com o objetivo de identificar corretamente os dispositivos de consumo de energia em um ambiente residencial usando técnicas de NILM.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D1,"A população utilizada no estudo é representativa do contexto real de aplicação (residencial, industrial, smart grid)?",Low,"O estudo utilizou dados da base REDD, que é uma coleção pública de dados de uso residencial para monitoramento de carga elétrica, representando adequadamente um contexto residencial.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D1,Os critérios de inclusão e exclusão dos dados foram claramente descritos?,No information,"O artigo menciona que foram utilizados dados de nove dispositivos elétricos da base REDD, e que instâncias com menos de 10 repetições foram filtradas, mas não há um detalhamento explícito dos critérios de inclusão e exclusão.",,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D1,Os dados foram coletados prospectivamente ou retrospectivamente?,Low,"Os dados foram coletados retrospectivamente, uma vez que o estudo utiliza conjuntos de dados pré-existentes e públicos: REDD, UK-DALE, PLAID e CID.",,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Aplicabilidade,D1,Os dados usados no estudo são aplicáveis ao problema de NILM em sistemas reais?,Low,"Sim, os dados de consumo de energia usados são aplicáveis ao problema de NILM, pois a base REDD é projetada para pesquisas em monitoramento não intrusivo de carga elétrica em residências.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D2,O algoritmo de ML foi claramente descrito e implementável (reprodutível)?,Low,"O estudo descreve o uso de vários algoritmos de aprendizado de máquina, incluindo K-Nearest Neighbors (KNN) e Random Forest (RFC), e fornece detalhes sobre os parâmetros utilizados, o que facilita a reprodução. ",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D2,Os hiperparâmetros e configurações do modelo foram reportados?,Low,"Sim, o artigo fornece uma tabela com exemplos de hiperparâmetros usados para o GridSearchCV, o que facilita a replicação das configurações.",,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D2,O treinamento e a validação foram realizados em conjuntos de dados separados (cross-validation ou holdout)?,Low,O artigo utilizou a técnica de cross-validation com Stratified K-Fold para garantir a divisão balanceada dos dados entre treinamento e validação.,,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Aplicabilidade,D2,A abordagem de ML utilizada está alinhada com o problema de NILM descrito na revisão?,Low,"Sim, a abordagem de aprendizado de máquina utilizada no estudo está alinhada com o problema de NILM, pois aplica algoritmos supervisionados para a desagregação de cargas elétricas em um contexto residencial.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D3,"O estudo descreve de forma adequada o ground truth utilizado para avaliação (ex: dados rotulados, sensor de referência)?",Low,"O ground truth utilizado no estudo foi obtido a partir dos rótulos da base REDD, que são dados rotulados de consumo de energia para cada dispositivo.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D3,O padrão de referência é independente do modelo treinado?,Low,"Sim, o padrão de referência utilizado para avaliação (dados rotulados da base REDD) é independente do modelo treinado, uma vez que são dados fixos da base de dados.",,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Aplicabilidade,D3,O padrão de referência é adequado para avaliar desempenho em NILM?,Low,"Sim, a base REDD é amplamente utilizada para avaliar o desempenho de sistemas NILM, fornecendo uma referência válida e bem estabelecida.",Low,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D4,Todos os dados disponíveis foram incluídos na análise final?,Some concerns,"Não, dados com menos de 10 repetições foram excluídos da análise final para melhorar a qualidade dos resultados.",Some concerns,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D4,O estudo explica se houve exclusão de amostras ou classes e por quê?,High,"Sim, amostras com menos de 10 repetições foram excluídas para reduzir a desbalanceamento nas classes e melhorar a eficácia do treinamento.",,,,,,,,,,
[17],Effective Feature Selection and Deep Learning-Based Classification for Non-Intrusive Load Monitoring,2023,Risco de Viés,D4,"As métricas de desempenho (F1-score, acurácia, etc.) foram reportadas de forma clara e completas (com variância)?",Some concerns,"As métricas de desempenho são claramente reportadas (precisão, recall, F1-score, e acurácia), mas não são fornecidas com variância.",,,,,,,,,,
